"exercise_id","exercise_name","exercise_type","tactical_objective","physical_objective","pitch_length_m","pitch_width_m","pitch_area_m2","area_per_player_m2","players_total","players_per_team","neutral_players","duration_min","repetitions","rest_min","touches_limit","offside_rule","transition_rule","scoring_condition","sprint_profile","acceleration_profile","intensity_profile","recommended_md_day","description_short"
"EX001","SSG_3v3_20x15_Pressing","small_sided_game","pressing","high_intensity_conditioning","20","15","300","50","6","3","0","6","4","2","2","no","immediate","standard","low","very_high","very_high","MD4","Compact SSG focused on pressing triggers and immediate recovery. Very high acceleration demand."
"EX002","SSG_4v4_25x20_Transition","small_sided_game","transition","mixed_conditioning","25","20","500","62","8","4","0","7","3","2","2","no","immediate","standard","moderate","high","high","MD4","4v4 with immediate transition. Balanced sprint and acceleration load. Core MD4 drill."
"EX003","SSG_5v5_30x25_Possession","small_sided_game","possession","aerobic_conditioning","30","25","750","75","10","5","0","8","3","2","3","no","delayed","possession_based","low","high","high","MD3","5v5 possession focus. High acceleration and moderate HSR. Aerobic development via continuity."
"EX004","SSG_5v5_30x25_Transition","small_sided_game","transition","mixed_conditioning","30","25","750","75","10","5","0","7","3","2","2","no","immediate","standard","moderate","high","high","MD3","Transition-based 5v5. Higher sprint exposure than possession version. MD3 staple."
"EX005","SSG_6v6_35x30_Pressing","small_sided_game","pressing","high_intensity_conditioning","35","30","1050","87","12","6","0","8","3","2","2","no","immediate","standard","moderate","high","high","MD4","Larger SSG with pressing structure. More HSR than 3v3 due to pitch size."
"EX006","Rondo_4v2_10x10","rondo","possession","technical_conditioning","10","10","100","17","6","4","2","6","5","1","unlimited","no","none","possession_based","very_low","very_low","low","MD1","Classic rondo. Very low physical output. Technical and cognitive load dominant. MD1 activation."
"EX007","Rondo_6v2_15x15","rondo","possession","technical_conditioning","15","15","225","28","8","6","2","7","4","1","unlimited","no","none","possession_based","very_low","very_low","low","MD1","Wider rondo with 6 defenders. Still low physical load. Good for activation and ball circulation."
"EX008","Rondo_6v3_20x15","rondo","possession","aerobic_conditioning","20","15","300","33","9","6","3","8","3","1","unlimited","no","none","possession_based","low","low","low_moderate","MD2","Larger rondo 6v3. Slightly more movement demand. Light aerobic stimulus."
"EX009","Rondo_8v3_25x20_Directional","rondo","possession_with_direction","aerobic_conditioning","25","20","500","45","11","8","3","10","3","1","3","no","directional","possession_based","low","moderate","moderate","MD2","Directional rondo with numerical advantage. Moderate movement and decision-making."
"EX010","LargeGame_8v8_60x40_Possession","large_sided_game","possession","aerobic_conditioning","60","40","2400","150","16","8","0","12","2","3","3","yes","delayed","possession_based","moderate","moderate","moderate","MD3","Large possession game. Significant HSR and sprint exposure from pitch size. Aerobic base."
"EX011","LargeGame_9v9_65x45_Transition","large_sided_game","transition","aerobic_conditioning","65","45","2925","162","18","9","0","12","2","3","2","yes","immediate","standard","high","moderate","high","MD3","9v9 with transitions on large pitch. High sprint exposure. Good MD3 conditioning."
"EX012","LargeGame_10v10_70x50_Open","large_sided_game","possession_and_transition","aerobic_conditioning","70","50","3500","175","20","10","0","15","2","3","unlimited","yes","immediate","standard","high","moderate","high","MD2","Open 10v10. Closest to match conditions. High sprint and HSR volumes."
"EX013","LargeGame_8v8_60x40_Pressing","large_sided_game","pressing","high_intensity_conditioning","60","40","2400","150","16","8","0","10","2","3","2","yes","immediate","standard","moderate","high","high","MD4","8v8 with pressing triggers on large pitch. High acceleration and sprint combination."
"EX014","Flying_Sprint_30m","sprint_drill","none","speed_development","30","5","150","15","10","0","0","1","8","3","unlimited","no","none","none","very_high","low","very_high","MD2","Flying sprint over 30m. Peak speed exposure. Very high sprint distance and max speed percent."
"EX015","Flying_Sprint_20m","sprint_drill","none","speed_development","20","5","100","10","10","0","0","1","10","3","unlimited","no","none","none","very_high","low","very_high","MD2","Short flying sprint. Maximum speed stimulus in compact format. Speed maintenance work."
